column,missing_before_fill,missing_after_fill
Family,15252,0
Stand Count [# of plants],5159,0
Silking [days],4169,0
Anthesis [days],4037,0
Stalk Lodging [# of plants],2804,0
Root Lodging [# of plants],2801,0
Test Weight [lbs],1763,0
Ear Height [cm],1683,0
Plant Height [cm],1673,0
Grain Moisture [%],172,0
Replicate,0,0
Block,0,0
Year,0,0
Field-Location,0,0
Pedigree,0,0
Experiment,0,0
# Seed per plot,0,0
Rows per plot,0,0
Row spacing (in inches),0,0
Alley length (in inches),0,0
Plot area (ft2),0,0
Plot length (center-center in feet),0,0
City,0,0
State,0,0
Plot Weight [lbs],0,0
